Starttime,Stoptime
8/11/2015 18:35,8/11/2015 18:47
8/11/2015 18:36,8/11/2015 18:57
8/11/2015 18:39,8/11/2015 18:57
8/11/2015 18:40,8/11/2015 18:58
8/11/2015 18:42,8/11/2015 18:55
8/11/2015 18:43,8/11/2015 18:50
8/11/2015 18:44,8/11/2015 19:09
8/11/2015 18:45,8/11/2015 18:52
8/11/2015 18:51,8/11/2015 19:28
8/11/2015 18:51,8/11/2015 19:08
8/11/2015 18:53,8/11/2015 18:59
8/11/2015 18:55,8/11/2015 19:19
8/11/2015 18:56,8/11/2015 19:11
8/11/2015 18:57,8/11/2015 19:21
8/11/2015 18:58,8/11/2015 19:03
8/11/2015 18:58,8/11/2015 19:12
8/11/2015 19:00,8/11/2015 19:25
8/11/2015 19:00,8/11/2015 19:03
8/11/2015 19:01,8/11/2015 20:53
8/11/2015 19:01,8/11/2015 20:54
8/11/2015 19:05,8/11/2015 19:42
8/11/2015 19:08,8/11/2015 19:20
8/11/2015 19:08,8/11/2015 21:07
8/11/2015 19:09,8/11/2015 19:11
8/11/2015 19:11,8/11/2015 19:34
8/11/2015 19:11,8/11/2015 19:19
8/11/2015 19:12,8/11/2015 20:31
8/11/2015 19:12,8/11/2015 20:02
8/11/2015 19:12,8/11/2015 20:23
8/11/2015 19:13,8/11/2015 19:20
8/11/2015 19:13,8/11/2015 19:35
8/11/2015 19:14,8/11/2015 20:53
8/11/2015 19:14,8/11/2015 20:36
8/11/2015 19:15,8/11/2015 20:52
8/11/2015 19:15,8/11/2015 20:52
8/11/2015 19:16,8/11/2015 19:38
8/11/2015 19:19,8/11/2015 19:30
8/11/2015 19:19,8/11/2015 20:44
8/11/2015 19:20,8/11/2015 19:24
8/11/2015 19:21,8/12/2015 10:49
8/11/2015 19:21,8/11/2015 20:43
8/11/2015 19:22,8/11/2015 19:50
8/11/2015 19:22,8/11/2015 19:42
8/11/2015 19:23,8/11/2015 19:42
8/11/2015 19:26,8/11/2015 20:19
8/11/2015 19:26,8/11/2015 20:08
8/11/2015 19:27,8/11/2015 20:26
8/11/2015 19:27,8/11/2015 20:08
8/11/2015 19:29,8/11/2015 20:51
8/11/2015 19:30,8/11/2015 20:49
8/11/2015 19:36,8/11/2015 19:52
8/11/2015 19:44,8/11/2015 19:52
8/11/2015 19:46,8/11/2015 20:01
8/11/2015 19:46,8/11/2015 20:00
8/11/2015 19:47,8/11/2015 20:57
8/11/2015 19:47,8/11/2015 19:52
8/11/2015 19:48,8/11/2015 20:01
8/11/2015 19:50,8/11/2015 20:44
8/11/2015 19:50,8/11/2015 20:36
8/11/2015 19:51,8/11/2015 21:01
8/11/2015 19:52,8/11/2015 20:40
8/11/2015 19:52,8/11/2015 20:36
8/11/2015 19:52,8/11/2015 20:40
8/11/2015 19:53,8/11/2015 20:57
